id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,,2025-06-18 19:28:17+00:00,www.prnewswire.com,"VidantaWorld Launches Cirque du Soleil LUDŌ, the First Resident Immersive Water Show in Latin America",,,,,,https://www.prnewswire.com/news-releases/vidantaworld-launches-cirque-du-soleil-lud-the-first-resident-immersive-water-show-in-latin-america-302485666.html,"/PRNewswire/ -- Grupo Vidanta and Cirque du Soleil Entertainment Group are proud to announce the premiere of LUDŌ, a breathtaking show that heralds a new era...",,https://mma.prnewswire.com/media/2714336/Ludo_BON_Luxury_Theme_Park.jpg?p=facebook,,,2025-06-18 16:06:23.760616
,,2025-06-18 19:08:03+00:00,Yahoo News,"NALIP Media Summit Sets 2025 Program: John Leguizamo, Cristela Alonzo, Eugenio Derbez & Kate Del Castillo Among Speakers",,,,,,https://ca.news.yahoo.com/nalip-media-summit-sets-2025-183000391.html,"EXCLUSIVE: The National Association of Latino Independent Producers has set its key speakers for the 2025 Media Summit: John Leguizamo, Cristela Alonzo, Eugenio Derbez, Kate Del Castillo, Cristo Fernandez, Annie Gonzalez, and Carlos Santos. The event will take place from June 26 to 27 at NeueHouse Hollywood. Derbez and Del Castillo will reunite with Under …",,https://s.yimg.com/ny/api/res/1.2/QmHFD5BwGo._9FEXzI_zIg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzY-/https://media.zenfs.com/en/deadline.com/33cea8b293b5bccea2f337c501c457d2,,,2025-06-18 18:04:33.769249
,,2025-06-18 18:08:40+00:00,www.prensario.net,MIP CANCUN announces major new branded content programme,,,,,,https://www.prensario.net/MIP-CANCUN-announces-major-new-branded-content-programme-49496.note.aspx,"Cross industry partnerships combine to connect brands, agencies and content across the Spanish-speaking region at forthcoming edition",,https://www.prensario.net/Multimedios/imgs/66494_750.jpg?v=3,,,2025-06-18 15:05:54.707840
,,2025-06-18 18:08:01+00:00,www.11alive.com,OYE Fest 2025 lineup mixes U.S. Latin beat‑makers with global stars,,,,,,https://www.11alive.com/article/entertainment/music/oye-fest-2025-lineup-atlanta/85-8d96723f-8c8e-4d23-8228-1d7be925c925,"The Atlanta Latin‑arts and music festival announced its full 2025 lineup Tuesday, unveiling a vibrant roster of more than 30 artists and DJs set to ...",,,,,2025-06-18 15:05:54.707840
,,2025-06-18 17:44:18+00:00,www.latingrammy.com,La Fundación Cultural Latin GRAMMY® Abre El Período De Solicitudes Para Su Programa De Subvenciones De Investigación Y Preservación De La Música Latina 2025 | LatinGRAMMY.com,,,,,,https://www.latingrammy.com/news/the-latin-grammy-cultural-foundation-opens-applications-for-its-2025-latin-music-research-and-preservation-grant-program,"... Latin GRAMMY winner and 2020 Leading Ladies of Entertainment honoree, Goyo. Latin GRAMMY winner and 2018 Latin Recording Academy Lifetime ...",,https://i8.amplience.net/i/naras/02_CULTURAL_FOUNDATION_INVERT_RGB (1),,,2025-06-18 17:07:14.329567
,,2025-06-18 17:41:22+00:00,Aurora Israel Noticias en Español,Aurora Israel - News from Israel and the Jewish world in Spanish,,,,,,https://www.aurora-israel.co.il/en/The-CJL-organized-an-international-workshop-on-preventing-violent-extremism./,"Current events from Israel and the global Jewish community in Spanish. Politics, culture, religion, the Holocaust, and more.",,https://aurora-israel.co.il/wp-content/uploads/2024/05/aurora-preview.jpg,,,2025-06-18 18:04:33.769249
,,2025-06-18 15:51:47+00:00,Denver Gazette,Latin American countries to launch own AI model in September,,,,,,https://denvergazette.com/news/nation-world/latin-american-countries-to-launch-own-ai-model-in-september/article_d5c2db25-f4fe-5fda-93b9-96109f2a1dc1.html,By Fabian Cambero,,https://bloximages.newyork1.vip.townnews.com/denvergazette.com/content/tncms/assets/v3/editorial/0/8b/08bbb6b5-38f0-54c5-8fb5-508da955880c/6851df15f3a73.image.jpg?crop=800%2C420%2C0%2C56,,,2025-06-18 16:06:23.760616
,,2025-06-18 15:01:44+00:00,The Voice St. Lucia News,SALCC meets with Latin American Ambassadors - The Voice St. Lucia News,,,,,,https://thevoiceslu.com/2025/06/salcc-meets-with-latin-american-ambassadors/,"The Sir Arthur Lewis Community College (SALCC) senior leadership met with several Latin American ambassadors recently to discuss, among other topics...",,https://thevoiceslu.com/wp-content/uploads/2025/06/SALCC-meets-with-Latin-American-Ambassadors.jpg,,,2025-06-18 13:09:16.064581
,,2025-06-18 13:06:51+00:00,www.businesswire.com,The Latin GRAMMY Cultural Foundation® Opens Applications for Its 2025 Latin Music ...,,,,,,https://www.businesswire.com/news/home/20250618200126/en/The-Latin-GRAMMY-Cultural-Foundation-Opens-Applications-for-Its-2025-Latin-Music-Research-and-Preservation-Grant-Program,MIAMI--(BUSINESS WIRE)--The Latin Recording Academy announced its 2024 Leading Ladies of Entertainment honorees.... 01_LL_Gold_CMYK_2024.jpg. Back to ...,,,,,2025-06-18 10:02:31.325931
,,2025-06-18 04:18:24+00:00,The Star,Latin American countries to launch own AI model in September,,,,,,https://www.thestar.com.my/tech/tech-news/2025/06/18/latin-american-countries-to-launch-own-ai-model-in-september,"SANTIAGO (Reuters) -A dozen Latin American countries are collaborating to launch Latam-GPT in September, the first large artificial intelligence language model trained to understand the region's diverse cultures and linguistic nuances, Chilean officials said on Tuesday.",,https://apicms.thestar.com.my/uploads/images/2025/06/18/3372235.jpg,,,2025-06-18 00:58:55.354115
,,2025-06-18 03:49:01+00:00,INQUIRER.net,Zuleyka Rivera storms out of ‘Miss Universe Latina’ reality show,,,,,,https://entertainment.inquirer.net/615452/zuleyka-rivera-storms-out-of-miss-universe-latina-reality-show,"Barely two weeks since its pilot episode, the &quot;Miss Universe Latina: El Reality&quot; already had an explosive drama. But it was not initiated by any of the participating pageant aspirants.",,https://entertainment.inquirer.net/files/2025/06/AB66A8B7-82E2-40DD-A24D-83D793C93E76.jpeg,,,2025-06-17 23:58:38.895214
,,2025-06-18 03:41:05+00:00,Al Día News,Club World Cup: The Wide Gap Between Europe and Latin America,,,,,,https://www.aldianews.com/en/sports/soccer-and-society/club-world-cup-wide-gap,The new club tournament is underway. This competition reveals the current state of the football world as it enters a new era.,,https://www.aldianews.com/sites/default/files/2025-06/FOTO%20MUNDIAL%20DE%20CLUBES.jpg,,,2025-06-18 19:05:10.868104
,,2025-06-18 03:18:08+00:00,KMPH,Latin Loba brings high-energy Shakira tribute to Madera for a night of music and dance,,,,,,https://kmph.com/news/local/latin-loba-brings-high-energy-shakira-tribute-to-madera-for-a-night-of-music-and-dance,"The Shakira tribute band, Latin Loba, is set to bring the Colombian superstar's music to Madera this Saturday, June 21.The performance will take place at ApCal",,https://kmph.com/resources/media2/16x9/477/986/1x77/90/68c68a1e-f330-4347-8780-6379167f5574-SHAKIRA1.jpg,,,2025-06-17 23:58:38.895214
