id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,Costs & Impacts,2026-07-31 23:00:20+00:00,www.pa.gov,DEP Reschedules Public Hearing for BRADS site in Schuylkill County,,,,,,https://www.pa.gov/agencies/dep/newsroom/2026-07-31-dep-reschedules-public-hearing-for-brads-site-in-schuylkill-county,DEP Reschedules Public Hearing for BRADS site in Schuylkill County,,https://www.pa.gov/content/dam/copapwp-pagov/en/global/images/thumbnail.png,,,2026-07-31 22:00:29.671032
,Costs & Impacts,2026-07-31 22:48:42+00:00,www.sierraclub.org,Community Opposition to Consumers Energy Proposed Deep Injection Wells for Coal Waste,,,,,,https://www.sierraclub.org/michigan/blog/2026/07/community-opposition-consumers-energy-proposed-deep-injection-wells-coal,Many neighbors and Ottawa County community members attended an U.S. Environmental Protection Agency (EPA) July 23 hearing regarding Consumers ...,,,,,2026-07-31 22:00:29.671032
,,2026-07-31 22:36:31+00:00,https://www.weau.com,MN water hacks trigger federal alerts for Wisconsin systems,,,,,,https://www.weau.com/2026/07/31/local-water-systems-monitor-cybersecurity-threats-following-minnesota-attacks/,Local utility officials are reassuring residents that area drinking water remains safe and protected following a wave of cyberattacks that targeted more than 30 municipal water facilities in neighboring Minnesota.,,https://gray-weau-prod.gtv-cdn.com/resizer/v2/JV6YADG4ZNBFNGD34FR46ROCYI.png?auth=5433efe1f3020712f01e247854ae6960729d03812e0e2eca8ffe7c121b5fa4cb&width=1200&height=600&smart=true,,,2026-07-31 22:00:29.671032
,Opposition & Allies,2026-07-31 22:15:28+00:00,ABC7 Los Angeles,"Herbicide use in Orange County waterways draws scrutiny from environmental group, officials",,,,,,https://abc7.com/story/herbicide-use-orange-county-waterways-draws-scrutiny-environmental-group-officials/19608212/,"Herbicides are being used to control weeds in some O.C. waterways, and environmental advocates want the controversial spraying to stop. ABC7 On Your Side investigates what's being done. ",,https://cdn.abcotvs.com/dip/images/19604150_073026-kabc-5pm-7oysi-oc-creek-team-vid-vid.jpg?w=1600,,,2026-07-31 20:02:34.655581
,Costs & Impacts,2026-07-31 21:29:03+00:00,www.wsj.com,Wave of Hacks Hits U.S. Water Facilities - WSJ,,,,,,https://www.wsj.com/pro/cybersecurity/wave-of-hacks-hits-u-s-water-facilities-c4778225,... Bureau of Investigation and Environmental Protection Agency said late Thursday. The agencies said hackers changed passwords and network settings ...,,,,,2026-07-31 18:05:13.400742
,,2026-07-31 21:28:23+00:00,WKBW 7 News Buffalo,"Grand Island Town Board to consider DEC, EPA property access authorization",,,,,,https://www.wkbw.com/news/local-news/northtowns/grand-island-town-board-to-consider-dec-epa-property-access-authorization,"The Grand Island Town Board is expected to consider a resolution Monday that would authorize Town Supervisor Peter Marston to sign property access for the DEC and EPA, should the agencies request access to town-controlled or town-owned properties.",,https://ewscripps.brightspotcdn.com/dims4/default/8da7147/2147483647/strip/true/crop/1920x1008+0+36/resize/1200x630!/quality/90/?url=https%3A%2F%2Fcf.cdn.uplynk.com%2Fause1%2Fslices%2F349%2F1020d6d1597347248f5d62c059a4c7e3%2F3495c3f32b4f4660b8cfe97636ffdaf3%2Fposter_3883a25b731d40808b8f30e4993d2ee3.jpeg,,,2026-07-31 19:02:43.131227
,Costs & Impacts,2026-07-31 21:28:01+00:00,www.ic3.gov,FBI Public Service Announcement I-073026-PSA - IC3,,,,,,https://www.ic3.gov/PSA/2026/PSA260730.pdf,The Federal Bureau of Investigation (FBI) and Environmental Protection Agency (EPA) are issuing this Public Service Announcement (PSA) to warn ...,,,,,2026-07-31 18:05:13.400742
,Costs & Impacts,2026-07-31 21:23:54+00:00,www.kqed.org,Woodside Fire Brings Hazy Air to Much of North Bay | KQED,,,,,,https://www.kqed.org/news/12093383/woodside-fire-30-contained-evacuations-air-quality-warnings-highway-1-closure-in-place,Heavy smoke continues to affect much of the North Bay.,,https://cdn.kqed.org/wp-content/uploads/sites/10/2026/07/260731-WOODSIDE-FIRE-01-KQED.jpg,,,2026-07-31 19:02:43.131227
,,2026-07-31 21:01:27+00:00,New Jersey Business & Industry Association,NJBIA's Siekerka Presents National Manufacturing Leadership Award,,,,,,https://njbia.org/njbias-siekerka-presents-national-manufacturing-leadership-award/,"NJBIA President & CEO Michele Siekerka, who also chairs the Conference of State Manufacturers Associations, presented the Arizona Chamber of",,https://njbia.org/wp-content/uploads/2026/07/COSMA-July-29-2026-at-17.04.03.png,,,2026-07-31 18:05:13.400742
,Costs & Impacts,2026-07-31 20:23:21+00:00,ABC News,"Trump blames Minnesota governor, not Iran, for cyberattacks on the state's water systems",,,,,,https://abcnews.com/Politics/trump-blames-minnesota-governor-iran-cyberattacks-states-water/story?id=135266259,Trump blamed Minnesota's Democratic governor for cyberattacks on the state's water systems.,,https://i.abcnewsfe.com/a/14f8059d-9929-48fb-995e-a40131fed089/cabinet-12-gty-gmh-260731_1785515036703_hpMain_16x9.jpg?w=1600,,,2026-07-31 17:03:49.895460
